"","ï..544988"
"985",7370
"986",7829
"987",12155
"988",87075
"989",415323
"990",18961
"991",61139
"992",8590
"993",9278
"994",38325
"995",2076
"996",7143
"997",20813
"998",8393
"999",8812
"1000",85076
"1001",36953
"1002",36719
"1003",420
"1004",211628
"1005",35395
"1006",8844
"1007",8002
"1008",39597
"1009",540
"1010",6344
"1011",439421
"1012",11420
"1013",12509
"1014",12829
"1015",12546
"1016",678
"1017",6112
"1018",23764776
"1019",7930294
"1020",4731857
"1021",2638265
"1022",24241
"1023",2306099
"1024",5756367
"1025",5892939
"1026",28486949
"1027",13853618
"1028",7456
"1029",111677
"1030",2564135
"1031",40846
"1032",29013061
"1033",19833619
"1034",284
"1035",12564700
"1036",114138
"1037",421330
"1038",40481
"1039",31982
"1040",26862
"1041",35053
"1042",444450
"1043",174718
"1044",78604
"1045",12319
"1046",6424189
"1047",1748
"1048",7476
"1049",9986529
"1050",158234
"1051",308262
"1052",267952
"1053",4295081
"1054",32425314
"1055",461
"1056",4997
"1057",15240408
"1058",924
"1059",4825627
"1060",1037915
"1061",193770
"1062",9032593
"1063",4028
"1064",22981253
"1065",6529682
"1066",11627045
"1067",1920
"1068",6889761
"1069",7457577
"1070",50655
"1071",1970060
"1072",1008645
"1073",10886857
"1074",2224
"1075",6911
"1076",15484263
"1077",10018755
"1078",10529478
"1079",30447
"1080",33
"1081",45
"1082",2467990
"1083",858209
"1084",6297
"1085",11909
"1086",27836
"1087",73179
"1088",2592691
"1089",4086258
"1090",6403087
"1091",204346
"1092",51229
"1093",61046
"1094",110727
"1095",2834
"1096",6834034
"1097",1078038
"1098",637
"1099",894
"1100",31011
"1101",3410315
"1102",49460
"1103",80469
"1104",4258413
"1105",1517778
"1106",511596
"1107",7995829
"1108",15765203
"1109",7108315
"1110",7730664
"1111",5557
"1112",3221637
"1113",63835911
"1114",1382742
"1115",17529210
"1116",3744058
"1117",5403136
"1118",1987163
"1119",14624163
"1120",10695621
"1121",5318696
"1122",5284682
"1123",2652839
"1124",4328645
"1125",2557084
"1126",469
"1127",15823698
"1128",7829007
"1129",15244606
"1130",12949934
"1131",10032179
"1132",5220085
"1133",2679790
"1134",1163
"1135",29740
"1136",8084904
"1137",2615939
"1138",2505921
"1139",7669674
"1140",12472
"1141",7544442
"1142",1974
"1143",92162
"1144",22789
"1145",201546
"1146",4684680
"1147",32562
"1148",101941
"1149",1750141
"1150",1471
"1151",1030
"1152",14849
"1153",1018703
"1154",1384653
"1155",7776324
"1156",33512
"1157",41227
"1158",10405900
"1159",5861399
"1160",3619122
"1161",266
"1162",265396
"1163",3577103
"1164",2506887
"1165",19102362
"1166",15732510
"1167",1684792
"1168",26795829
"1169",718
"1170",15705656
"1171",5251207
"1172",10557110
"1173",6462941
"1174",5279979
"1175",5266610
"1176",2775
"1177",2582198
"1178",7862811
"1179",329
"1180",15159628
"1181",99766
"1182",1652214
"1183",16900
"1184",1585189
"1185",579291
"1186",46970
"1187",2526669
"1188",732383
"1189",7880201
"1190",15865649
"1191",5266899
"1192",2848
"1193",5220021
"1194",3938070
"1195",7253260
"1196",11466917
"1197",4200301
"1198",9694308
"1199",0
"1200",97442
"1201",581458
"1202",1739530
"1203",3056186
"1204",2653995
"1205",194663
"1206",238602
"1207",2207
"1208",170472
"1209",5907980
"1210",7407234
"1211",178739
"1212",5082849
"1213",123813
